Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au;Qt.A;Affidabilita;Gf_per_90;Ass_per_90;Gs_per_90;Disciplina;Au_per_90;Indice_Rigorista
5831;D;Dc;Gatti;Juventus;28;6,14;6,21;1;0;0;0;0;0;0;2;0;0;10;0.7368421052631579;0.03571428571428571;0.0;0.0;-0.03571428571428571;0.0;0.0
5835;D;"Dd;Dc";Baschirotto;Lecce;38;5,86;5,97;2;0;0;0;0;0;0;3;0;0;10;1.0;0.05263157894736842;0.0;0.0;-0.039473684210526314;0.0;0.0
4401;D;Dc;Gabbia;Milan;25;6,04;6,2;2;0;0;0;0;0;0;4;0;0;10;0.6578947368421053;0.08;0.0;0.0;-0.08;0.0;0.0
4317;D;Dc;N'Dicka;Roma;38;6,05;6,03;0;0;0;0;0;0;0;2;0;0;10;1.0;0.0;0.0;0.0;-0.02631578947368421;0.0;0.0
4210;D;Dc;Mina;Cagliari;31;6,06;6,06;1;0;0;0;0;0;0;4;1;0;9;0.8157894736842105;0.03225806451612903;0.0;0.0;-0.16129032258064516;0.0;0.0
4378;D;"Ds;Dc";Ranieri L.;Fiorentina;36;5,92;5,96;1;0;0;0;0;0;2;7;0;0;9;0.9473684210526315;0.027777777777777776;0.05555555555555555;0.0;-0.09722222222222222;0.0;0.0
5739;D;"Dd;Dc";De Winter;Genoa;24;5,85;6,1;3;0;0;0;0;0;0;6;0;0;9;0.631578947368421;0.125;0.0;0.0;-0.125;0.0;0.0
5833;D;Dc;Gila;Lazio;32;6,05;5,95;1;0;0;0;0;0;0;8;0;1;9;0.8421052631578947;0.03125;0.0;0.0;-0.125;0.03125;0.0
6632;D;Dc;Gaspar K.;Lecce;24;6,17;6,15;0;0;0;0;0;0;1;3;0;0;9;0.631578947368421;0.0;0.041666666666666664;0.0;-0.0625;0.0;0.0
4976;D;"Dd;Dc";Kalulu;Juventus;28;6,02;6,05;1;0;0;0;0;0;0;2;1;0;9;0.7368421052631579;0.03571428571428571;0.0;0.0;-0.14285714285714285;0.0;0.0
5840;D;"B;Ds;E";Olivera;Napoli;30;6,08;6,05;0;0;0;0;0;0;1;4;0;0;9;0.7894736842105263;0.0;0.03333333333333333;0.0;-0.06666666666666667;0.0;0.0
4385;D;E;Lazaro;Torino;31;5,98;6,08;0;0;0;0;0;0;6;6;0;0;9;0.8157894736842105;0.0;0.1935483870967742;0.0;-0.0967741935483871;0.0;0.0
5555;D;"Ds;E";Kamara H.;Udinese;30;5,93;6,03;1;0;0;0;0;0;4;6;1;0;9;0.7894736842105263;0.03333333333333333;0.13333333333333333;0.0;-0.2;0.0;0.0
6672;D;Dc;Idzes;Venezia;35;5,96;5,97;1;0;0;0;0;0;0;5;0;0;9;0.9210526315789473;0.02857142857142857;0.0;0.0;-0.07142857142857142;0.0;0.0
5022;D;Dc;Pavlovic;Milan;22;5,91;6,11;2;0;0;0;0;0;1;3;1;0;9;0.5789473684210527;0.09090909090909091;0.045454545454545456;0.0;-0.20454545454545456;0.0;0.0
6956;D;Dc;Solet;Udinese;19;6,16;6,29;1;0;0;0;0;0;1;1;1;0;9;0.5;0.05263157894736842;0.05263157894736842;0.0;-0.18421052631578946;0.0;0.0
787;D;Dc;Djimsiti;Atalanta;33;5,88;5,88;1;0;0;0;0;0;2;6;0;1;8;0.868421052631579;0.030303030303030304;0.06060606060606061;0.0;-0.09090909090909091;0.030303030303030304;0.0
5354;D;E;Ruggeri;Atalanta;26;6;6,08;0;0;0;0;0;0;3;2;0;0;8;0.6842105263157895;0.0;0.11538461538461539;0.0;-0.038461538461538464;0.0;0.0
6202;D;Dc;Beukema;Bologna;34;5,93;5,94;0;0;0;0;0;0;1;1;0;0;8;0.8947368421052632;0.0;0.029411764705882353;0.0;-0.014705882352941176;0.0;0.0
4461;D;"B;Dd;E";Zappa;Cagliari;36;5,75;5,86;2;0;0;0;0;0;0;4;0;0;8;0.9473684210526315;0.05555555555555555;0.0;0.0;-0.05555555555555555;0.0;0.0
5718;D;Dc;Viti;Empoli;30;6,02;6,07;1;0;0;0;0;0;0;3;0;0;8;0.7894736842105263;0.03333333333333333;0.0;0.0;-0.05;0.0;0.0
513;D;Dc;Acerbi;Inter;21;6,07;6,12;0;0;0;0;0;0;1;0;0;0;8;0.5526315789473685;0.0;0.047619047619047616;0.0;-0.0;0.0;0.0
2788;D;Dc;Bremer;Juventus;6;6,5;6,42;0;0;0;0;0;0;0;1;0;0;8;0.15789473684210525;0.0;0.0;0.0;-0.08333333333333333;0.0;0.0
460;D;Dc;Romagnoli;Lazio;32;5,84;5,91;2;0;0;0;0;0;0;4;2;0;8;0.8421052631578947;0.0625;0.0;0.0;-0.25;0.0;0.0
2728;D;"Ds;E";Pellegrini Lu.;Lazio;19;6,08;6,11;0;0;0;0;0;0;3;5;0;0;8;0.5;0.0;0.15789473684210525;0.0;-0.13157894736842105;0.0;0.0
5307;D;Dc;Valenti;Parma;20;5,85;5,85;1;0;0;0;0;0;0;4;1;0;8;0.5263157894736842;0.05;0.0;0.0;-0.25;0.0;0.0
4994;D;"B;Dd;E";Vojvoda;Como;27;5,96;6,04;1;0;0;0;0;0;2;6;0;0;8;0.7105263157894737;0.037037037037037035;0.07407407407407407;0.0;-0.1111111111111111;0.0;0.0
49;D;"B;Ds;E";Masina;Torino;24;5,96;6,12;1;0;0;0;0;0;3;5;0;0;8;0.631578947368421;0.041666666666666664;0.125;0.0;-0.10416666666666667;0.0;0.0
5847;D;Dc;Bijol;Udinese;34;5,99;5,88;1;0;0;0;0;0;2;11;1;1;8;0.8947368421052632;0.029411764705882353;0.058823529411764705;0.0;-0.25;0.029411764705882353;0.0
6480;D;"Dd;E";Tchatchoua;Verona;36;5,76;5,9;2;0;0;0;0;0;3;6;1;0;8;0.9473684210526315;0.05555555555555555;0.08333333333333333;0.0;-0.16666666666666666;0.0;0.0
6802;D;"B;Dd;E";Savona;Juventus;27;5,89;6,02;2;0;0;0;0;0;0;5;0;0;8;0.7105263157894737;0.07407407407407407;0.0;0.0;-0.09259259259259259;0.0;0.0
697;D;E;Cuadrado;Atalanta;20;6,08;6,1;0;0;0;0;0;0;2;3;0;0;8;0.5263157894736842;0.0;0.1;0.0;-0.075;0.0;0.0
4665;D;Dc;Maripan;Torino;28;5,93;5,93;1;0;0;0;0;0;0;4;1;0;8;0.7368421052631579;0.03571428571428571;0.0;0.0;-0.17857142857142858;0.0;0.0
2515;D;"B;Dd;E";Walker;Milan;10;5,95;5,9;0;0;0;0;0;0;0;1;0;0;8;0.2631578947368421;0.0;0.0;0.0;-0.05;0.0;0.0
5678;D;"Dd;E";Holm;Bologna;16;5,94;6,12;1;0;0;0;0;0;1;3;0;0;7;0.42105263157894735;0.0625;0.0625;0.0;-0.09375;0.0;0.0
2653;D;"Ds;E";Lykogiannis;Bologna;16;6;6,16;0;0;0;0;0;0;4;3;0;0;7;0.42105263157894735;0.0;0.25;0.0;-0.09375;0.0;0.0
6495;D;Dc;Comuzzo;Fiorentina;28;5,91;5,93;1;0;0;0;0;0;0;5;0;0;7;0.7368421052631579;0.03571428571428571;0.0;0.0;-0.08928571428571429;0.0;0.0
252;D;"B;Ds;E";Biraghi;Torino;21;5,83;5,86;1;0;0;0;0;0;0;1;0;1;7;0.5526315789473685;0.047619047619047616;0.0;0.0;-0.023809523809523808;0.047619047619047616;0.0
791;D;"Dd;Ds;E";Sabelli;Genoa;30;5,87;5,9;0;0;0;0;0;0;2;3;0;0;7;0.7894736842105263;0.0;0.06666666666666667;0.0;-0.05;0.0;0.0
